object_type,Cultures/periods,count
arrow-head,Late Neolithic/Early Bronze Age,15
box-fitting,Early Anglo-Saxon,15
handle,Neolithic/Bronze Age,15
awl,Neolithic/Bronze Age,15
brush-washer,Qing dynasty,15
spear,Early Anglo-Saxon,15
incense-burner,Edo Period,15
inlay,Mesopotamian,15
stamp-seal,Ubaid,15
vase,Classic Maya,15
jar,Middle Islamic,15
vessel,Neo-Assyrian,15
stirrupjar,Late Helladic IIIA2,15
buttonbrooch,Early Anglo-Saxon,15
inlay,New Kingdom,15
print,Ming dynasty,14
print,Hindu,14
portraithead,Roman,14
painting,Ming dynasty,14
ovalbrooch,Viking,14
vessel,Ubaid,14
ear-ring,Early Byzantine,14
endscraper,Palaeolithic,14
triptychprint,Bunka Era,14
knife,1st Dynasty,14
shabti,19th Dynasty,14
loom-weight,Iron Age,14
architecture,Abbasid dynasty,14
boss,Bronze Age,14
dish,Northern Song dynasty,14
dish,Roman Period,14
dirk,Middle Bronze Age,14
microlith,Palaeolithic,14
nail,Iron Age,14
amphora,Archaic Greek,14
necklace,First Intermediate,14
nodule,Neolithic,14
cylinder,Neo-Babylonian Dynasty,14
beaker,Early Bronze Age,14
textile,Late Period,14
beaker,Late Neolithic/Early Bronze Age,14
textile,Byzantine,14
sample,Early Anglo-Saxon,14
artefact,New Kingdom,14
plaque,18th Dynasty,14
stela,19th Dynasty,14
bowl,Late Sasanian,14
jar,Hellenistic,14
axe-hammer,Middle Neolithic,14
inlay,Graeco-Roman,14
bowl,Early Dynastic,14
triptychprint,Kansei Era,14
tsuba,Edo Period,14
humancremation,Bronze Age,14
humancremation,Early Anglo-Saxon,14
illustratedbook,Genroku Era,14
vase,Mesopotamian,14
strap-end,Merovingian,14
amphoriskos,Greek,14
ingot,Bronze Age,14
figure,Classical Greek,14
vessel,Late Neolithic/Early Bronze Age,14
bowl,Classic Maya,14
jar,Old Assyrian,14
stud,Iron Age,14
amulet,Third Intermediate,14
stamp-seal,Late Babylonian,14
buckle,Medieval,14
box,Edo Period,14
finger-ring,Merovingian,14
brooch,Early Anglo-Saxon,14
bracelet,Bronze Age,14
vessel,Akkadian,14
vegetalremains,Neolithic,14
stamp-seal,Phoenician,14
flakedflake,Lower Palaeolithic,14
amulet,First Intermediate,14
storage-jar,Sasanian,14
artefact,Late Bronze Age,14
fitting,Late Period,14
relief,Roman,14
weight,Early Byzantine,14
chisel,Bronze Age,14
cineraryurn,Early Anglo-Saxon,14
coin,Han to Jin,14
artefact,Neolithic/Bronze Age,13
point,Magdalenian,13
vessel,Fatimid dynasty,13
tablet,Lagash II,13
relief,18th Dynasty,13
banknote,Qing dynasty,13
textile,Christian Period,13
pilgrimbadge,Post-Medieval,13
textile,Post-Christian,13
beaker,Qing dynasty,13
casting-jet,Bronze Age,13
panel,Late Medieval,13
painting,Muromachi Period,13
belt-buckle,Early Byzantine,13
belt-fitting,Iron Age,13
scarab,Hyksos,13
notch,Lower Palaeolithic,13
binding,Early Anglo-Saxon,13
neck-amphora,Archaic Greek,13
girdle-hanger,Early Anglo-Saxon,13
vessel,Early Byzantine,13
vessel,Seljuq dynasty,13
artefact,Bronze Age,13
stud,Romano-British,13
mug,Attic,13
surimono,Bunsei Era,13
surimono,Bunka Era,13
bladelet,Neolithic,13
model,Late Period,13
toolimplement,Early Anglo-Saxon,13
divinationequipment,Heisei Era,13
dish,Post-Medieval,13
block,Neolithic/Bronze Age,13
medallion,Roman Imperial,13
brick,Third Dynasty of Ur,13
figurine,Huaxtec,13
vessel,Coptic,13
lip-cup,Archaic Greek,13
lamp,Ptolemaic,13
lamp,Hellenistic,13
torc,Bronze Age,13
lamp,Abbasid dynasty,13
boss,Romano-British,13
knife,Late Bronze Age,13
knife,Early Bronze Age,13
bottle,Sasanian,13
shabti,New Kingdom,13
vessel,Middle Kingdom,13
ear-ring,Merovingian,13
doublebevelbasepoint,Magdalenian,13
buckle,Anglo-Saxon,13
figure,Post-Medieval,13
stamp-seal,Late Chalcolithic,13
figure,Islamic,13
vessel,Attic,13
bowl,Akkadian,13
unguentarium,Islamic,13
unguentarium,Hellenistic,13
bowl,Ayyubid dynasty,13
bowl,Coptic,13
sidescraper,Middle Palaeolithic,13
sickle,Neolithic/Bronze Age,13
jar,Late Bronze Age,13
jar,Early Dynastic,13
jar,Coptic,13
slab,Neolithic,13
bowl,New Kingdom,13
bowl,Predynastic,13
figure,19th Dynasty,13
incense-box,Edo Period,13
rivet,Early Anglo-Saxon,13
bead,Early Dynastic III,13
bead,Classic Maya,13
poster,Islamic,13
bead,First Intermediate,13
votiveplaque,Heisei Era,13
adze,Neolithic,12
cleaver,Lower Palaeolithic,12
cosmetic-toolimplement,Early Anglo-Saxon,12
vessel,Hallstatt,12
vessel,Graeco-Roman,12
reliquary,Kushan,12
tablet,Old Assyrian,12
sword,Islamic,12
stirrupjar,Late Helladic IIIB,12
stamp-seal,Uruk,12
awl,Iron Age,12
bowl,Middle Kingdom,12
vase,Inca,12
ring,Middle Bronze Age,12
bead,Celtic,12
bead,Bronze Age,12
print,Bunkyu Era,12
plaque,Etruscan,12
bead,Roman Period,12
pin,Viking,12
